Node,mean,stdev
1145,8.283,0.345
1146,8.283,0.345
1147,8.284,0.345
1148,8.284,0.345
1149,8.285,0.344
1150,8.286,0.345
1151,8.286,0.344
1152,8.287,0.344
1153,8.288,0.345
1154,8.289,0.345
1155,8.289,0.345
1156,8.289,0.345
1157,8.289,0.345
1158,8.292,0.344
1159,8.293,0.343
1160,8.293,0.344
1161,8.293,0.344
1162,8.293,0.343
1163,8.293,0.344
1164,8.293,0.344
1165,8.293,0.344
1166,8.293,0.344
1167,8.293,0.344
1168,8.293,0.344
1169,8.293,0.344
1170,8.294,0.344
1171,8.295,0.345
1172,8.296,0.344
1173,8.297,0.343
1174,8.298,0.342
1175,8.299,0.341
1176,8.299,0.341
1177,8.299,0.341
1178,8.298,0.342
1179,8.299,0.341
1180,8.299,0.340
1181,8.300,0.339
1182,8.300,0.338
1183,8.300,0.338
1184,8.300,0.337
1185,8.301,0.336
1186,8.301,0.336
1187,8.302,0.336
1188,8.302,0.335
1189,8.299,0.335
1190,8.299,0.334
1191,8.298,0.334
1192,8.299,0.333
1193,8.302,0.331
1194,8.303,0.331
1195,8.304,0.329
1196,8.304,0.329
1197,8.305,0.328
1198,8.306,0.328
1199,8.306,0.328
1200,8.307,0.327
1201,8.307,0.327
1202,8.308,0.326
1203,8.309,0.325
1204,8.311,0.323
1205,8.311,0.323
1206,8.311,0.323
1207,8.311,0.322
1208,8.312,0.321
1209,8.312,0.321
1210,8.315,0.319
1211,8.313,0.318
1212,8.313,0.317
1213,8.312,0.317
1214,8.311,0.314
1215,8.312,0.313
1216,8.311,0.313
1217,8.311,0.313
1218,8.311,0.313
1219,8.311,0.313
1220,8.311,0.312
1221,8.310,0.312
1222,8.310,0.312
1223,8.310,0.311
1224,8.312,0.309
1225,8.312,0.309
1226,8.311,0.308
1227,8.311,0.308
1228,8.311,0.307
1229,8.311,0.307
1230,8.311,0.307
1231,8.311,0.307
1232,8.312,0.306
1233,8.312,0.306
1234,8.312,0.306
1235,8.310,0.305
1236,8.310,0.305
1237,8.310,0.306
1238,8.309,0.306
1239,8.309,0.306
1240,8.308,0.305
1241,8.309,0.305
1242,8.308,0.306
1243,8.309,0.308
1244,8.308,0.308
1245,8.308,0.308
1246,8.308,0.309
1247,8.308,0.309
1248,8.308,0.310
1249,8.307,0.310
1250,8.306,0.310
1251,8.306,0.310
1252,8.306,0.310
1253,8.305,0.310
1254,8.305,0.311
1255,8.306,0.311
1256,8.306,0.311
1257,8.306,0.312
1258,8.305,0.311
1259,8.304,0.311
1260,8.301,0.310
1261,8.301,0.310
1262,8.300,0.310
1263,8.300,0.310
1264,8.300,0.311
1265,8.300,0.310
1266,8.300,0.310
1267,8.300,0.310
1268,8.301,0.310
1269,8.302,0.311
1270,8.302,0.311
1271,8.302,0.311
1272,8.302,0.311
1273,8.302,0.311
1274,8.302,0.311
1275,8.302,0.311
1276,8.301,0.311
1277,8.302,0.311
1278,8.303,0.311
1279,8.303,0.311
1280,8.304,0.310
1281,8.304,0.311
1282,8.307,0.309
1283,8.308,0.309
1284,8.309,0.309
1285,8.309,0.308
1286,8.309,0.308
1287,8.308,0.308
1288,8.309,0.308
1289,8.310,0.308
1290,8.308,0.307
1291,8.310,0.308
1292,8.310,0.308
1293,8.309,0.307
1294,8.310,0.307
1295,8.311,0.307
1296,8.311,0.308
1297,8.316,0.312
1298,8.318,0.313
1299,8.318,0.312
1300,8.319,0.312
1301,8.321,0.312
1302,8.322,0.312
1303,8.322,0.313
1304,8.322,0.313
1305,8.322,0.313
1306,8.322,0.313
1307,8.324,0.314
1308,8.324,0.314
1309,8.324,0.314
1310,8.324,0.315
1311,8.325,0.315
1312,8.325,0.315
1313,8.325,0.315
1314,8.326,0.315
1315,8.326,0.315
1316,8.328,0.315
1317,8.329,0.315
1318,8.329,0.315
1319,8.329,0.315
